data_instance	premise	ask-for	hypothesis1	hypothesis2	true_label	predicted_label
dev-1119	Economist was attracted by this aberration.	cause	This country in recessions had a city with prosperity.	There was a serious problem of corrosion in lithospheres.	0	1
dev-1120	He needed to calculated their task completion rates.	cause	The teacher provided them with a variety of pedons.	The boss was to assess staff performance.	1	1
dev-1121	I saw many fetishistic elements.	cause	I went into a temple of shamanism.	I went into a temple of books.	0	0
dev-1122	The government published a ne policy.	effect	The government announced the abolition of all taxes.	The public knew its meaning.	1	0
dev-1123	He was sunburned.	cause	Tom's skin was exposed to the sun for a long time.	Tom's skin has been itchy lately.	0	0
dev-1124	The boy suffers from tinea.	cause	The boy is prone to sweating excessively.	This boy was exposed to contaminated rat urine.	0	0
dev-1125	He is exhausted now with full fatigue.	cause	Zachary has been bothered by migraine pain for hours.	He has been busy all day long.	1	0
dev-1126	Jerry sweated a lot.	effect	He became fatter.	He had a cramp.	1	1
dev-1127	It's an estuary.	cause	It's a very special environment here.	The riverbed here twists and turns.	0	1
dev-1128	The bank raised interest on savings to attract the public.	effect	The number of citizens coming to the bank to make deposits has increased.	Their clients were attracted and decided to cooperate with them.	0	0
dev-1129	Jack leaves Beijing.	effect	Jack suffered from disassociation mentally.	He dropped out from the university.	0	0
dev-1130	Scientists have collected a lot of invertebrates.	effect	Scientist can cleary classify them.	The scientist have done a lot of researches.	0	0
dev-1131	Logan put some neodymium into a beaker of liquid magnesium.	effect	The neodymium dissolved.	The neodymium didn't dissolve.	0	1
dev-1132	He found that they reached the same height.	cause	Luck checked the basketball in his hand.	Tom has seen two spruces.	1	1
dev-1133	Tom was suffered a strange skin disease.	effect	Herpes entered his body through tiny passages in his skin.	The doctor suggested that he should take use of the phytotherapy and buy some medicine containing natural plants.	1	0
dev-1134	He took a lot of pictures of different animals.	cause	Tom has been studying animal living habits recently.	John went to the zoo to see the theropods.	1	1
dev-1135	She has good credits.	cause	Linda always pays her debt in time.	Lucy has a good ability of expression.	0	0
dev-1136	He has a need for heating.	effect	He bought a heater.	He is cruel to animals.	0	0
dev-1137	She found the  foul-tasting liquid from their limbs smelly.	cause	The experimenter studied ancient cultivated crops.	Lucy smelt the ladybugs.	1	1
dev-1138	Recently, it has entered the flowering stage.	cause	This cockatoo has recently been beating the trunk of a tree with a small wooden branch every day.	Tom bought a bulb two years ago.	1	1
dev-1139	He applied it on his back, hands and feet.	cause	Tom bought a plaster to treat the rash.	Tom had pain in his knee, so he had the pressure points test.	0	0
dev-1140	Tanager belongs to sparrow.	effect	Tanager is fed on worms.	All the tail snakes under this land ran away to other places.	0	0
dev-1141	Mary devotes herself in feminism course.	cause	The meal consists of rice, potatoes and vegetables.	Mary is a feminist.	1	1
dev-1142	They looked for the protocols for explaination.	cause	They encountered an incident.	Tom desired to know the scientific explanation of the word.	0	0
dev-1143	Someone offered clues accoding to the photo they posted online.	cause	A couple of parents are playing in the park with their child.	A couple of parents are looking for their lost child.	1	1
dev-1144	Tom is a transsexual.	effect	The  reassignment expressed his perceived inner identities.	He also had basic needs to make love as others.	0	0
dev-1145	Bob decreased the speed to 50km/h.	cause	The racers entered the deceleration phase.	Tom wants to accelerate the speed of the chemical reaction.	0	0
dev-1146	My pet was infected by microscopic animals called coccidia.	effect	It had Coccidiosis.	It had a cold.	0	0
dev-1147	There are few tree on the mountain.	effect	This mountain often has mudslides.	The birds can't fly over.	0	0
dev-1148	Mario introduces his topic through a presentation while Mary just gives a speech orally.	effect	Mario draws more attention.	Mary draws more attention.	0	0
dev-1149	Contraception is advocated here.	cause	The peotries of Shakespeare always talks about the inner struggle of humankind.	Women's health care is valued in the country.	1	1
dev-1150	The identity of the dead body should be clarified.	effect	The police will carry deep investigations.	Calcification happens.	0	0
dev-1151	The technician set  wrong computer commands.	effect	The mainframe stopped working immediately. .	The robot can't work properly.	1	0
dev-1152	Sam has been studying tetrapods.	effect	Sam has seen creatures as big as cars, and creatures as big as slaps.	He inputs a lot of equations.	0	0
dev-1153	She died with dignity as free from pain as possible.	cause	Mary's wound became inflamed in an acute attack.	The dying lady hear hospice from her son.	1	1
dev-1154	Tom ate the undercooked plantains.	effect	He tasted bitterness.	He added some acid to the solution.	0	0
dev-1155	She removed the battery to dissipate heat.	cause	Susan's cell phone is very hot after use.	Mary is getting older and older.	0	0
dev-1156	Tom bakes biscuit in this shop.	effect	He needs novel ideas to bake new biscuits.	Tom works there as a salesman.	0	0
dev-1157	The engineer finally chose the electromagnet.	cause	The voltage of the electric field has changed.	Engineers are selecting materials for giant wheels.	1	1
dev-1158	Vinegars can make him allergic.	cause	Jack is allergic to alcohol even in small amount.	The virus inside the nerve cell can be reactivated.	0	0
dev-1159	Everyone thinks Jack is a selfish person.	cause	Jack doesn't brush his teeth everyday.	Jack always isolates himself from others and tries every means to get what he wants without paying attention to others' needs and feelings.	1	1
dev-1160	This bird dates back to the carboniferous period.	effect	Cockroaches could be its prey at that time.	They have reproduced many generations.	0	1
dev-1161	The fishes in the tank were electrocuted.	cause	Tom connected a socket and a fish tank with a wire.	Nadal put cephalopods in a fresh water fish tank.	0	0
dev-1162	Jack's grandfather stopped breathing.	effect	The doctor pronounced him dead.	Jack asked his father for help.	0	1
dev-1163	Tom wants to change his clothes.	effect	Tom soaked the pen into ink.	He opens the drawer.	1	1
dev-1164	The weather is very bad this spring.	effect	The number of sucker is greatly reduced.	The flowers withered.	0	1
dev-1165	The nurse used a catheter to help him urinate.	cause	There is something wring with Tom's urinary system.	James is ill in bed and it is not convenient to go to the toilet.	1	1
dev-1166	Hollyhocks is their worst enemy.	cause	The forestry department fears the species invasion danger.	Summer comes.	0	0
dev-1167	I saw iridescence on it very often.	cause	My Peafowl was locked in its cage.	I had a cooked sliced ham for each lunch.	1	0
dev-1168	The connective tissue wrapping each individual axon within the nerve contains protein.	effect	Endoneurium contains protein.	Cells can manufacture proteins.	0	0
dev-1169	Producers are in our lives.	effect	We benefit from producers for good life quality.	We benefit from producers for bad life quality.	0	0
dev-1170	It is indispensable to toothpastes.	cause	Ticks is sensitive to the smell of warm-blooded animals.	Calcium carbonate is a gentle abrasive.	1	1
dev-1171	John wanted to look at the list of articles.	effect	The doctor gave him some thrombin.	He looked at the bibliography and found notes in it.	1	1
dev-1172	The scientists have gained new insights in their research.	cause	The microwave has complex circuits.	The computer simulates the way planets move.	1	1
dev-1173	The doctor has found eosinophils in his stomach.	cause	Tom had suffers from some kind of stomach condition.	Tom has an inflammation in his stomach.	1	1
dev-1174	HATs are implicated in transcriptional activation.	effect	The paralyzed people are less sensitive to nerve stimulation.	HATs are hot molecules.	1	1
dev-1175	They gave birth to Billy.	cause	Tom is a student majoring in physics.	Tom immigranted to Africa and met Mary.	1	1
dev-1176	Pathogenic microbes sometimes attack our bodys.	effect	Scientist can cleary classify them.	Our bodies produce a lot of phenolics.	1	1
dev-1177	The researchers chose muons.	cause	This experiment requires a particle that have exactly the same interactions as electrons.	The factory hired workers to dig the ground.	0	0
dev-1178	Tom keeps scratching where he suffers from eczema.	effect	Tom is allergic to animal fur.	His eczema covers more and more skin.	1	1
dev-1179	He learns how to recognize  the energe essence of emotions.	cause	Tim is learning the skill of mindfulness.	Mark becomes a ventriloquist after years of training.	0	0
dev-1180	The doctor gave her aspirin as a substitute.	cause	She can not stand the old drug's effect.	This drug has been used up.	1	0
dev-1181	Tom has overcomed a lot of barriers.	effect	He has to find one more person.	He finally succeeded.	1	0
dev-1182	Jack doesn't like vegetables with slender stalks.	effect	But paramecium is an exception.	He never eats celery.	1	1
dev-1183	Piroplasmosis has spread in this area.	effect	Numerous livestock in this area died which causes great economic loss.	The size of the population is affected.	0	1
dev-1184	Mr. Howard added titanium dioxide as raw material when making corundum.	effect	He succeeded in making sapphire.	He got some small melons.	0	0
dev-1185	Tom is poor.	effect	Tom can not afford beef.	He bought cleanser essence for treatment.	0	0
dev-1186	Jim put some water in the beaker and left them on the table for a long time.	effect	He found the water became sweeter.	He found the volume of water decreased.	1	0
dev-1187	He raises a lot of lambs.	cause	Tom's family grows a lot of grapevines.	Tom opened a sweater factory.	1	0
dev-1188	Designers desire to increase availability.	effect	Designers bought a new clover.	Productivity was increased.	0	0
dev-1189	Tom intakes weak type iii collagen by eating muscles.	cause	One of Tom's llimbs had stong Muscles.	Muscles contain plenty of fibroblasts.	1	0
dev-1190	Socrates is a philosopher and a great man.	effect	Socrates dies for his value and belief.	Many readers thus consider him an excellent philosopher.	0	1
dev-1191	The attendants ends their relationships.	cause	The meeting ends.	Lucy and Tom are not ready for the coming of a baby.	0	0
dev-1192	He bought a lot of berries.	cause	The doctor advised him to eat more fruits containing potassium.	Tom wants to eat some fruits with starch.	0	1
dev-1193	There is an apple on the ground.	effect	The sloth bent his hands and picked up the apple.	The exposed part of the apple turned yellow.	0	0
dev-1194	Lucy has been injected with the pseudoephedrine.	effect	Her baby in the belly was checked with pseudoephedrine.	Her self-esteem is profoundly impacted.	0	0
dev-1195	Finally he decided to choose iridium.	cause	He needed a hard brittle lustrous dense transition metal of the platinum family.	Qualcomm Company has applied for many patents.	0	0
dev-1196	An argali appeared in front of the hunter.	effect	The hunter followed it to find more of them.	Her eyes accomodated to the new distance to the object.	0	0
dev-1197	Jack sat on the wheelchair instead of lying on the bed.	effect	He escaped from confinement to the bed.	Jack fell down.	0	1
dev-1198	Raspberries can be seen here.	cause	There are aralias in this forest.	This garden contains all plants of rose family.	1	1
dev-1199	I desired to make a difference in our class.	effect	He eats a lot of eggplants.	I had ambitions in class.	1	1
dev-1200	The doctor asks Rose to discontinuate.	cause	The nurse asked the doctor for barbiturates.	Rose is trying ovulate to get pregnant.	1	1
dev-1201	They set a herd of turtles free on the beach.	effect	The turtles ran out to sea.	The turtles died on the beach.	0	1
dev-1202	He knew there was more in it.	cause	John found lice in his hair.	Edward walked on the road and was hit by a small stone.	0	0
dev-1203	This experiment requires an extremely inert chemical resisting even the action of aqua regia.	effect	The teacher provided them with iridium.	The scientific community calls this effect hazards.	0	1
dev-1204	These hyacinths are making their nests.	effect	They have found a new land.	They are enlarging holes in trees.	1	0
dev-1205	They perched on the tree ahead.	cause	A flock of cuckoos flew in the distance.	The villagers started from the easiest fruit trees to grow.	0	0
dev-1206	NO mass were measured in the two bodies.	effect	The inner ceramic magnets were out.	There is no grativity then.	1	0
dev-1207	Mike wanted to take some pictures of the jackrabbits.	effect	The most impressed was the beautiful but different heads they have.	Mike waited under a mix of shrubs.	1	1
dev-1208	Tom is allergic to beef.	effect	The examination showed that he had taken a large amount of ephedrine.	Tom never eats burgers.	1	1
dev-1209	The economic fluctuation was rising.	cause	The enemies were so strong.	More and more people made contributions in the development of economy.	1	1
dev-1210	They went to the church for prays.	cause	The patients was in the process of the treatment.	Villagers suffered painful life when there was a heavy flood in the village.	1	1
dev-1211	Tom hated his neighbor for a long time.	effect	The jeweler wanted to sell Tom.	He beat up his neighbor violently.	1	1
dev-1212	Adequate nutrients were provided for his body.	effect	The fat in his body has decreased.	The synthesis processes were normal in his body.	1	0
dev-1213	Tom is not very clear about one point in class.	effect	He turned to the assistants for explaination.	Tom's teacher ask him to reread the textbook.	1	1
dev-1214	Lucy is a secretary of the chairman of the famous factory.	effect	She enjoys the right of having a rest at weekends.	There is no doubt that he loves her.	0	0
dev-1215	She went to the zoo.	cause	Sheep still need to be outdoors in winter.	Mary wanted to see giraffes.	1	1
dev-1216	The boss wants the building to be more stable.	effect	He took use of slabs.	He chose a place with adequate sunlight and good air circulation.	0	1
dev-1217	Tom is a student majoring in the paleozoology.	effect	He mainly studies about fossil remains of animals.	He used a telescope to look at the moons.	0	0
dev-1218	Tom was bitten by a viper in the wild.	effect	The venom gradually spreads in Tom's body.	Tom had edema and erythema on his arm.	1	0
dev-1219	Tom wants to be the winner in the Olympic Games.	effect	He was injected with some depressants.	He is not restricted in his exercise.	0	1
dev-1220	He finally has something wrong with his airway.	cause	Tom's bone behind the toe was protruding.	Tom took no medicine to cure his fever.	1	0
dev-1221	Lucy has taken a lot of antidepressants.	effect	She found trazodone is the most effective one.	Their children are all over the country.	0	0
dev-1222	Rum's car was damaged.	effect	Rum changed to a new car.	Rum's repairman said it was a normal usage loss.	1	1
dev-1223	Zooplankton disappears.	cause	It hasn't rained here for a long time in this region.	Tom puts the zooplankton into the big fish tank with small fish.	1	1
dev-1224	Biologists had observed many mammals.	effect	They found that they visited families.	Biologists find that there are more gibbons in resource-rich places.	0	0
dev-1225	She used the teeth of it to clear up her hair.	cause	She bought a comb.	The little kangaroo feels very cold.	0	0
dev-1226	Fear clutches at his heart.	cause	Tom knows he's dying.	Bob's mentality has changed a lot recently.	0	0
dev-1227	The walruses were locked in an artifitial river together.	effect	They degenerated in this way.	The diver observed ther conatct under water sometimes.	1	0
dev-1228	Edison invented the light bulb with tungsten wire.	cause	Edison was a foreigner.	Edison ruled out all kinds of unsuitable materials.	1	1
dev-1229	Tom catches octopus by the sea.	effect	He failed because the octopus can always escape as fast as possible.	His leg was amputated.	0	0
dev-1230	Shoulder bones are connected together to maintain stability.	cause	There are arteries in the shoulders of the human body.	There are ligaments in the shoulders of the human body.	1	1
dev-1231	He got pneumonia.	effect	He died of it.	He nearly died of oxygen.	0	0
dev-1232	They spent a long time.	cause	Tom was going out for a date with his girlfriend at five in the evening on Christmas day.	This group of Pythons began to travel for their immigrant destination.	1	0
dev-1233	The farmer grows celeries.	effect	He knows its property very well.	He got carrots this year.	0	1
dev-1234	When it was over, the water was still clear.	cause	Lucy rotated the tap.	The keeper bathed the gerbil in water.	1	1
dev-1235	He stole their preys before they came back.	cause	The hungry theif came to a village of fishers.	The hungry theif came to a forest of snakes.	0	1
dev-1236	A leopard fur garment needs to sacrifice countless leopards.	effect	He bought a lot of cocoa beans.	Environmental experts call for a ban on leopard fur.	1	1
dev-1237	Amy wants to wash the car with water.	effect	The butcher needs to wash them away with a lot of water.	She brings a long hose.	1	1
dev-1238	The interfaces of biological systems were destroyed.	cause	Part of the nutrients in the patient's body were depleted.	The alien's destruction plan starts from the essential structures in biological systems.	1	1
dev-1239	Only Tom attributed all to lumber.	effect	He is the only one who considered the free existence of things.	He got some alloys.	0	0
dev-1240	They firstly measured the covering area of the sun.	cause	The scientists made observations of the sunspots.	Scientists wants to measure the illuminance of the sun.	1	1
dev-1241	People are afraid of snakes.	cause	Frank is fond of chewing gum and eating hard and cold things.	Snakes are poisonous.	1	1
dev-1242	The astronomer calculated the size of such a Planetesimal.	effect	His result could be compared with the size of small moons.	He discovered the new world.	0	0
dev-1243	His lupus was cured.	cause	Tom took some antimalarials.	His vertebrate was damaged.	0	1
dev-1244	The table looked more transparent.	cause	The maker maintained the rate of Transparency of the table's suface.	The maker changed the rate of Transparency of the table's suface.	1	1
dev-1245	These gooseberries grow better.	cause	Gigi has cultivated gooseberries under good conditions.	I have some seedlings in my garden.	0	0
dev-1246	The movie star asked for assistance.	effect	His company gave him a hand.	He asked for help from a 3 year old child.	0	0
dev-1247	There are a lot of creatures in the nature.	effect	All these creatures make up the biodiversity.	They play their own functions and keep the biological sphere.	1	0
dev-1248	Bobbies were in trap.	effect	The angel gave him a hand.	The farmer bought pesticides to kill them.	0	1
dev-1249	Lisa's battery capacity is too small.	effect	Father does some activations on her battery.	Lisa was diagnosed with diabetes.	0	0
dev-1250	A bat entered our theater.	effect	It hanged on the wall.	It hanged on the floor.	0	1
dev-1251	Tom lacks magnesium in his body.	effect	He was diagnosed with the cardiovascular disease.	His doctor gave him ibuprofen.	0	1
dev-1252	They easily damage their spines.	cause	Dachshunds have short backs.	Dachshunds have long backs.	1	1
dev-1253	The students found some bone-like structures in the polyps.	effect	They built nests with the materials they found.	The teacher told them it was called the spicules.	1	1
dev-1254	The child was admitted to the hospital because he drank gasoline by mistake.	effect	Doctors feel thorny in detoxifying marijuana.	Doctors feel thorny in detoxifying mixed chemicals.	1	1
dev-1255	He died soon after.	cause	Kimi was wounded by the enemy.	He took opium.	0	0
dev-1256	Tom can't master division.	effect	His mother is angry at his not mastering fundamental operation of arithmetic.	He could design one of minimalism.	0	0
dev-1257	There was a swan in the office.	effect	The official got the beautiful feather.	The poor actress can not hear anything because of the noise.	0	0
dev-1258	Tom saw himself in the mirror.	cause	Tom has put a mirror under the sun.	Baby Tom looked into the mirror.	1	1
dev-1259	The coin is attracted by the magnet.	cause	Jack holds the iron sheet close to the magnetite.	Jane held the magnet close to the coin.	1	1
dev-1260	He went to church to be baptized.	cause	Jack wants to join Christianity.	Another case of sudden death occurred.	0	0
dev-1261	We were killed by nuclear weapons.	cause	Missles were used to attack us.	The decay of uranium didn't stop.	0	0
dev-1262	They found that they can grow to eight inches long.	cause	They studied the components of poinsettias.	They studied the features of leech.	1	1
dev-1263	The staff in this hotel are well-trained in this hotel.	effect	They can offer the guests with good service.	Many workers are toxicated.	0	0
dev-1264	Mike prepared enough proteins for them.	cause	Mike kept several poodles.	They are getting married today.	0	0
dev-1265	They learn a lot from each other.	cause	Tom and Maria are good friends.	The teacher provided them with a variety of pedons.	0	0
dev-1266	Tom was in poor health.	cause	Tom has burdens.	Tom had terrible acne these days.	0	1
dev-1267	The tetrapods' tooth is romoved.	effect	The tetrapod can't ea now.	It can get nourishment.	0	0
dev-1268	Tom went to the eastern United States.	effect	Tom had a visit of Indiana.	He saw a lot of dogwoods.	1	0
dev-1269	Tom went to his vegetable shed.	effect	He saw a lot of aphids.	Some people learned how to make beers with top fermenting yeasts from him.	0	0
dev-1270	He found something sticky and stick in the bottle.	cause	Tom has caught an aphid in the bottle.	Tom has just had a wine.	0	0
dev-1271	They found that they can grow to eight inches long.	cause	They studied the features of leech.	Scientists conducted a series of experiments on truffles.	0	0
dev-1272	They always stay in their home.	cause	Leah has a cough and often feels like having mucus in her throat.	Donkeys are lazy.	1	1
dev-1273	He doesn't have enough melanocytes in his body.	cause	He has no neural crest.	He has albinism.	0	0
dev-1274	Tom has a talent in running.	effect	The result showed that it was the persistence of sound in an enclosed space caused by repeated reflections.	He always won in various running competitions.	1	1
dev-1275	He felt sad about his opprobrium.	cause	The teacher's shameful action made him disgraceful.	He bitterly regretted that the man had robbed him of the chance.	0	0
dev-1276	He was so tired that he fell asleep.	cause	Tom was going out for a date with his girlfriend at five in the evening on Christmas day.	Tom spent the morning washing clothes and cleaning the room.	1	1
dev-1277	The pincers scratched her finger.	cause	The doctor is going to give her fluids.	Melinda went down to the pond to catch crabs.	1	1
dev-1278	Tom often faces the problem of anxiety.	effect	Tom can't breathe normally.	It is a prominent natural state of  his nature.	1	1
dev-1279	The residents here decided to migrate.	cause	The climate here became more and more severe.	The residents of this tropical town can't stand the wet weather.	0	0
dev-1280	Tommy hopes that azaleas will thrive.	effect	The gardener instructs him to transplant the flowers under the shade of the tree.	The gardener instructs him to transplant the flowers under the sun.	0	1
dev-1281	He measured the diameter and bought a new  proper tyre.	cause	Mike was not satisfied with the plasticine in a rim.	Tom's car tyre got punctured.	1	1
dev-1282	He eats something containing peppermints.	cause	Tom's sphincters are extremely nervous.	He is sleepy.	0	1
dev-1283	I cannot get connected to the internet at a high speed.	cause	This area is current-free.	Ethernet was interrupted on my computer.	1	1
dev-1284	They are classified in the low toxicity zone.	cause	John went to the shop to pick up surfactants.	The scientist testing lipoproteins.	0	0
dev-1285	Jack committed carjacking.	effect	This general intent crime analogous to robbery put him into jail.	Colleagues opened the window for him.	0	0
dev-1286	Tom lacks ketones in his blood.	effect	His blood flow is not as improved as others with normal ketones level.	His blood flow is as improved as others with normal ketones level.	0	1
dev-1287	Junipers grow everywhere in the village.	cause	The village has a great production in vegetables.	It is well-drained in the village.	1	1
dev-1288	Susan took a glass of soda and put it on the table.	effect	After a few days, the soda water lost its carbonation.	The carbonization of soda remains after a long time.	0	0
dev-1289	Tom's knee joints were hurt in a car accident.	effect	The doctor judged him to have a mild concussion.	He couldn't move his legs.	1	1
dev-1290	I told him they could only measure wind speed.	cause	Tim recently bought a gyroscope.	I saw Jane use anemometers to test wind direction.	1	1
dev-1291	He found a leech crawling up his leg.	cause	Tom farted in class.	Kevin went swimming in a small river.	1	1
dev-1292	The customer were very satisfied.	cause	The product has high utility.	The staff conveyed the new ideas they came up with to the customers.	1	1
dev-1293	He needs to know the degrees of arc.	cause	John wanted to measure the declinatio.	John wants to measure the mention body temperature.	0	1
dev-1294	Anacondas opened their jaws extremely wide.	effect	They went out to find food.	Anacondas swallowed their victims whole.	1	1
dev-1295	It results in particular problems in their minds.	cause	They are learning the science of computation.	People's reading got fragmentation.	1	0
dev-1296	Tom questioned various beliefs.	cause	Lucy was invited to talk about her belief.	Tom believes in heresy.	1	1
dev-1297	Tom has suffered from the disease.	effect	In the late period, sclerosis was manifested on Tom.	It's getting rotten.	0	0
dev-1298	Jack eats a lot of green vegetables.	effect	He became healthier.	His digestion is very smooth.	1	1
dev-1299	John bought a thermometer and put it the room.	cause	John wanted to monitor the temperature of the room where he planted mushrooms.	John wanted to keep the room where he planted mushroom moist.	0	0
dev-1300	Alice's baby was always drinking a kind milk which consists of nitrates.	effect	The baby was suffered the blue-baby syndrome.	Her baby was healthy when she grew up.	0	0
dev-1301	He looked at trilobites.	effect	He found these leaves are slippery.	He saw spines on them.	1	1
dev-1302	Tom was very drunk last night.	effect	Tom becomes more outgoing.	Tom is having a hangover.	1	1
dev-1303	She knows its lineages.	cause	Lila loves classification of her things.	The old witch protects everything of  the tree of life.	1	1
dev-1304	The fish was captured by the peregrine.	cause	The fish was caught by an otter.	Peregrine had an eye on a fish.	1	1
dev-1305	I don't like the smell of onions.	effect	I don't like the smell of scallions.	I never eat foods containing onions.	0	1
dev-1306	The fungicides play out different levels of activity.	cause	Doctors use fungicides to counter the spread of cancer cells.	Doctors use fungicides to deal with different diseases.	1	1
dev-1307	The salt dissappeared.	cause	Tom poured some salt in the sands.	Tom poured some salt in the water.	1	1
dev-1308	His father prevented him in time which saved a lot of food in another sense.	cause	Jack ingested glycerin by mistake.	Tom carelessly seeded oats in the autumn.	1	0
dev-1309	His father organized the whole family to travel.	cause	He wants to see a lot of zebras.	Tom is busy with exams recently so he is very nervous.	1	0
dev-1310	Tom has eaten something containing starches.	effect	His blood sugar has risen.	He suffered from gastrointestinal trouble.	0	0
dev-1311	The government only protected the property of the rich and had no concern for the individual rights of ordinary people.	effect	The people overthrew the government by election.	Laterly the residents felt the falling of drizzle.	0	0
dev-1312	The family provided a bed for their pet dog.	effect	The dog can insulate itself from the cold ground.	The puppy grows up happily under careful care.	0	0
dev-1313	Tom likes eating a lot of turnips.	effect	His child is also good at learning English.	He was filled with vitamins.	1	1
dev-1314	Their enemies' signal disturbed radio frequency waves.	effect	Our ground penetrating radar detected subsurface features as usual.	Our ground penetrating radar failed to detect subsurface features.	1	0
dev-1315	I want to borrow some money.	effect	I ran to buy unguent to treat white patches.	I turn to banks for help.	1	1
dev-1316	Tom graduated from university.	effect	Tom needs to choose working or going abroad.	He takes many part-time jobs every day to earn living expenses and tuition.	0	1
dev-1317	This region is a habitat.	effect	Many hummingbirds come here every year.	The owner planted some geraniums.	0	0
dev-1318	They disrupted homeostasis in its body.	cause	The researchers fed the mice some capsicums.	The biologists disrupted the metabolic balance maintained by several processes in the mice.	1	1
dev-1319	Tom likes the smell of pure and fresh.	effect	He enjoyed the smell of coconut.	He drinks a cup of tea every day.	1	0
dev-1320	Mario's bronchioles are blocked by something peculiar.	effect	His lobules lose function soon.	He usually suffers from arrhythmias.	0	0
dev-1321	The real story became a big screen adaptation.	effect	Many audience commented on its dramatic effects.	More people in us were attracted by it.	0	0
dev-1322	She picks two the small flaps at the base of the leaf.	cause	Mary grabbed a bunch of some kind of plant with foliage and asked what' s it.	Lucy wants to observe stipules.	1	1
dev-1323	It's proved that sound can not transmitted in vacuum.	cause	Tom did a lot of experiments.	A research team went to the Sahara desert to carry out scientific research.	0	0
dev-1324	Water was used as as a new source of electricity.	effect	The night in the fall becomes longer.	This hydro-energetic power manifested its own drawbacks.	1	1
dev-1325	He had a reaction.	cause	Jerry was stimulated.	Billy heard that lily's rhizomes can be used as medicine.	0	0
dev-1326	He often observed arthropods like insects.	cause	Tom was interested in Exoskeletons.	He is a biological scientist who specializes in the study of insects.	0	1
dev-1327	The wolf was hunting the antelope.	effect	The antelope asked help from his companions.	The large antlers are their powerful weapon.	0	0
dev-1328	Jerboas are hungry.	effect	They pick up food by their toes.	They have different access to food.	0	0
dev-1329	He often studies various phenomena in life.	cause	Tom is a sociologist.	Tom wanted to consider biology as a subject.	0	0
dev-1330	Babes are enjoying sunshine.	cause	The weather is pleasant on the beachs.	The farmed managed to kill a lot chiggers.	0	1
dev-1331	He fastened his seat belt.	effect	He swung his arms.	He was saved from being thrown out of the car in the car accident.	1	1
dev-1332	Kittiwakes were hungry.	effect	They are harmful.	They ate a lot.	1	1
dev-1333	They found out that it was written by the famous poet Shelley.	cause	They read a very beautiful poem.	The student has looked up the book.	0	0
dev-1334	His mother bought him a cygnet.	effect	Every day he catches aquatic insects to feed it.	He feeds it with plants.	0	0
dev-1335	Tom goes out in a down jacket in summer.	effect	The carbon dioxide, one of the major greenhouse gases, content in the air decreases.	Tom is suffering from heat stroke.	1	1
dev-1336	Tom went to a moor.	effect	People around him heard noise.	There he saw many species.	1	1
dev-1337	He is diagnosed with pancreatitis in the hospital.	cause	Tim's pancreas are inflamed.	Tom has been infected with pancreatic necrosis virus.	0	1
dev-1338	Mary watched many bison in the park.	effect	Mary found the small bison is similar to the older bison.	They were bisons too.	0	0
dev-1339	Tom has long-standing dyspepsia.	cause	This disease caused degenerative changes of the myocardium in Tom's heart.	Tom had suffers from some kind of stomach condition.	1	0
dev-1340	Nobody believed Tom's code was copied by Jack.	effect	Tom compared the two set of codes as evidence in public.	Tom cleared  the two set of codes as evidence in public.	0	0
dev-1341	He found that the mouthparts of this little ant were slowly getting bigger with age.	cause	Tom raised an ant cub at home.	Mario feels thirsty.	0	0
dev-1342	I fed the hummingbird in my cage twice a day.	effect	I try to keep it from coldness.	It could not maintain its high metabolism.	1	1
dev-1343	The road was made of concrete.	cause	The road should be of high strength.	The road should be of high freezing resistance.	0	0
dev-1344	Tom has lost his way.	effect	He betrayed his partners for his own benefit.	Tom took out the map and began to determine his location.	1	0
dev-1345	Tom's mother has allergies-hay fever.	effect	Tom also has allergies- hay fever.	His feelings of well being during the day diminished a lot.	0	0
dev-1346	He jointed too many activities.	effect	He betrayed his partners for his own benefit.	He felt tired.	1	1
dev-1347	His blood vessel are obstructed.	cause	There is a tumor in the patient's blood vessel.	There is a hole in the patient's blood vessel.	0	1
dev-1348	Jack's mother never lets him take part in any kind of activities.	effect	He never gets in a dangerous situation as other kids do.	He has no free time to entertain.	0	0
dev-1349	Amy doesn't want to have contact with petrochemicals.	cause	Chemicals derived from petroleum can be dangerous.	The factory discharges industrial waste into the water.	0	0
dev-1350	A has higher pressure than B.	cause	A weights heavier than B.	B weights heavier than A.	0	0
dev-1351	Jack doesn't like vegetables with slender stalks.	effect	He never eats celery.	He hasn't pay many attentions on the disease.	0	0
dev-1352	Drought stress weakens plant water potential and photosynthesis.	effect	The plants were beginning to wilt.	The plant harvest was affected.	0	1
dev-1353	She is a technician.	effect	Her knowledge is very profound.	She has to absorb water every once in a while.	0	0
dev-1354	She bought a book and began reading.	cause	Alice enjoys her free time.	Lucy has waited for Tom for a long time.	1	0
dev-1355	Tom drank a lot and passed out.	effect	The doctor diagnosed him with alcohol poisoning.	He fainted.	0	0
dev-1356	Farmers know how to pollinate flowers.	cause	Tom needed to pollinate his plants.	The farm grows many flowers.	1	1
dev-1357	They added air into the water.	cause	They did an experiment about aeration.	The little boy suffers from roseola.	0	0
dev-1358	The shop sells combs.	effect	People buy them for their need.	People buy them for their ears.	0	0
dev-1359	John was  thirsty but had no water.	effect	He found a vase as a substitute.	He ate some vegetables.	1	1
